Entity,Code,Year,Health expenditure per capita - Total
Argentina,ARG,2013,1955.837
Argentina,ARG,2014,1859.764
Argentina,ARG,2015,1986.572
Argentina,ARG,2016,1729.939
Argentina,ARG,2017,2037.97
Argentina,ARG,2018,1783.826
Argentina,ARG,2019,1698.412
Argentina,ARG,2020,1617.303
Argentina,ARG,2021,1775.201
Australia,AUS,2013,4174.57
Australia,AUS,2014,4634.114
Australia,AUS,2015,4776.158
Australia,AUS,2016,4901.922
Australia,AUS,2017,4994.494
Australia,AUS,2018,5073.085
Australia,AUS,2019,5081.171
Australia,AUS,2020,5442.839
Australia,AUS,2021,5763.229
Australia,AUS,2022,5616.192
Australia,AUS,2023,5480.435
Austria,AUT,2013,4878.745
Austria,AUT,2014,4922.505
Austria,AUT,2015,4951.066
Austria,AUT,2016,4992.715
Austria,AUT,2017,5050.25
Austria,AUT,2018,5118.006
Austria,AUT,2019,5224.7
Austria,AUT,2020,5262.412
Austria,AUT,2021,5869.34
Austria,AUT,2022,5518.808
Austria,AUT,2023,5343.133
Belgium,BEL,2013,4575.546
Belgium,BEL,2014,4650.837
Belgium,BEL,2015,4832.936
Belgium,BEL,2016,4894.724
Belgium,BEL,2017,4942.588
Belgium,BEL,2018,5008.136
Belgium,BEL,2019,5065.355
Belgium,BEL,2020,5014.056
Belgium,BEL,2021,5278.667
Belgium,BEL,2022,5140.813
Belgium,BEL,2023,5203.652
Brazil,BRA,2013,1299.913
Brazil,BRA,2014,1357.322
Brazil,BRA,2015,1360.799
Brazil,BRA,2016,1334.801
Brazil,BRA,2017,1385.726
Brazil,BRA,2018,1403.285
Brazil,BRA,2019,1430.291
Bulgaria,BGR,2013,1306.668
Bulgaria,BGR,2014,1422.125
Bulgaria,BGR,2015,1436.627
Bulgaria,BGR,2016,1528.951
Bulgaria,BGR,2017,1597.643
Bulgaria,BGR,2018,1635.482
Bulgaria,BGR,2019,1696.609
Bulgaria,BGR,2020,2034.811
Bulgaria,BGR,2021,2248.064
Bulgaria,BGR,2022,2174.024
Bulgaria,BGR,2023,2293.405
Canada,CAN,2013,4517.606
Canada,CAN,2014,4531.371
Canada,CAN,2015,4646.018
Canada,CAN,2016,4762.49
Canada,CAN,2017,4855.691
Canada,CAN,2018,4931.373
Canada,CAN,2019,4993.325
Canada,CAN,2020,5493.937
Canada,CAN,2021,5759.107
Canada,CAN,2022,5432.467
Canada,CAN,2023,5306.825
Chile,CHL,2013,1628.081
Chile,CHL,2014,1716.233
Chile,CHL,2015,1833.552
Chile,CHL,2016,1907.811
Chile,CHL,2017,2070.402
Chile,CHL,2018,2124.19
Chile,CHL,2019,2132.098
Chile,CHL,2020,2092.416
Chile,CHL,2021,2408.672
Chile,CHL,2022,2474.982
Chile,CHL,2023,2453.391
China,CHN,2013,539.691
China,CHN,2014,583.041
China,CHN,2015,641.134
China,CHN,2016,683.152
China,CHN,2017,736.561
China,CHN,2018,798.145
China,CHN,2019,880.918
China,CHN,2020,945.304
China,CHN,2021,971.067
Colombia,COL,2013,993.011
Colombia,COL,2014,1043.188
Colombia,COL,2015,1077.247
Colombia,COL,2016,1075.454
Colombia,COL,2017,1112.568
Colombia,COL,2018,1127.145
Colombia,COL,2019,1158.832
Colombia,COL,2020,1170.196
Colombia,COL,2021,1338.77
Colombia,COL,2022,1215.334
Colombia,COL,2023,1229.165
Costa Rica,CRI,2013,1295.67
Costa Rica,CRI,2014,1333.9
Costa Rica,CRI,2015,1382.59
Costa Rica,CRI,2016,1381.179
Costa Rica,CRI,2017,1366.064
Costa Rica,CRI,2018,1426.988
Costa Rica,CRI,2019,1435.406
Costa Rica,CRI,2020,1473.31
Costa Rica,CRI,2021,1522.174
Costa Rica,CRI,2022,1460.989
Costa Rica,CRI,2023,1476.455
Croatia,HRV,2013,1407.565
Croatia,HRV,2014,1453.467
Croatia,HRV,2015,1524.34
Croatia,HRV,2016,1611.285
Croatia,HRV,2017,1672.563
Croatia,HRV,2018,1765.166
Croatia,HRV,2019,1865.068
Croatia,HRV,2020,1940.927
Croatia,HRV,2021,2395.233
Croatia,HRV,2022,2292.163
Croatia,HRV,2023,2462.926
Cyprus,CYP,2013,2029.848
Cyprus,CYP,2014,2012.535
Cyprus,CYP,2015,2085.309
Cyprus,CYP,2016,2194.853
Cyprus,CYP,2017,2287.065
Cyprus,CYP,2018,2453.872
Cyprus,CYP,2019,2657.182
Cyprus,CYP,2020,3110.806
Cyprus,CYP,2021,3693.127
Cyprus,CYP,2022,3571.324
Czechia,CZE,2013,2415.129
Czechia,CZE,2014,2539.452
Czechia,CZE,2015,2594.693
Czechia,CZE,2016,2690.487
Czechia,CZE,2017,2768.929
Czechia,CZE,2018,2880.338
Czechia,CZE,2019,3029.389
Czechia,CZE,2020,3456.465
Czechia,CZE,2021,3765.209
Czechia,CZE,2022,3379.094
Czechia,CZE,2023,3227.818
Denmark,DNK,2013,4542.648
Denmark,DNK,2014,4616.685
Denmark,DNK,2015,4723.649
Denmark,DNK,2016,4791.088
Denmark,DNK,2017,4834.528
Denmark,DNK,2018,4892.558
Denmark,DNK,2019,4980.55
Denmark,DNK,2020,5171.28
Denmark,DNK,2021,5562.765
Denmark,DNK,2022,5070.377
Denmark,DNK,2023,4812.307
Estonia,EST,2013,1713.71
Estonia,EST,2014,1815.827
Estonia,EST,2015,1941.591
Estonia,EST,2016,2030.575
Estonia,EST,2017,2094.031
Estonia,EST,2018,2204.848
Estonia,EST,2019,2318.937
Estonia,EST,2020,2552.462
Estonia,EST,2021,2759.129
Estonia,EST,2022,2524.994
Estonia,EST,2023,2558.013
Finland,FIN,2013,4031.567
Finland,FIN,2014,4000.195
Finland,FIN,2015,3992.495
Finland,FIN,2016,3989.827
Finland,FIN,2017,3999.578
Finland,FIN,2018,4027.918
Finland,FIN,2019,4141.837
Finland,FIN,2020,4261.434
Finland,FIN,2021,4468.077
Finland,FIN,2022,4426.367
Finland,FIN,2023,4586.869
France,FRA,2013,4549.807
France,FRA,2014,4627.301
France,FRA,2015,4669.286
France,FRA,2016,4748.564
France,FRA,2017,4779.291
France,FRA,2018,4764.442
France,FRA,2019,4806.803
France,FRA,2020,4816.838
France,FRA,2021,5228.495
France,FRA,2022,5133.357
France,FRA,2023,5014.483
Germany,DEU,2013,4992.68
Germany,DEU,2014,5129.092
Germany,DEU,2015,5299.011
Germany,DEU,2016,5431.201
Germany,DEU,2017,5586.037
Germany,DEU,2018,5715.314
Germany,DEU,2019,5915.137
Germany,DEU,2020,6212.168
Germany,DEU,2021,6516.938
Germany,DEU,2022,6391.887
Germany,DEU,2023,5971.327
Greece,GRC,2013,2113.634
Greece,GRC,2014,2005.093
Greece,GRC,2015,2122.934
Greece,GRC,2016,2188.036
Greece,GRC,2017,2128.62
Greece,GRC,2018,2155.339
Greece,GRC,2019,2219.016
Greece,GRC,2020,2348.357
Greece,GRC,2021,2491.552
Greece,GRC,2022,2529.4
Greece,GRC,2023,2533.182
Hungary,HUN,2013,1787.088
Hungary,HUN,2014,1843.415
Hungary,HUN,2015,1891.248
Hungary,HUN,2016,1973.285
Hungary,HUN,2017,1992.278
Hungary,HUN,2018,2070.484
Hungary,HUN,2019,2077.868
Hungary,HUN,2020,2332.142
Hungary,HUN,2021,2523.59
Hungary,HUN,2022,2419.525
Hungary,HUN,2023,2310.997
Iceland,ISL,2013,3524.207
Iceland,ISL,2014,3587.333
Iceland,ISL,2015,3761.737
Iceland,ISL,2016,3938.903
Iceland,ISL,2017,4107.188
Iceland,ISL,2018,4220.683
Iceland,ISL,2019,4306.236
Iceland,ISL,2020,4415.01
Iceland,ISL,2021,4673.694
Iceland,ISL,2022,4710.117
Iceland,ISL,2023,4652.947
India,IND,2013,203.259
India,IND,2014,204.647
India,IND,2015,213.974
India,IND,2016,221.66
India,IND,2017,196.893
India,IND,2018,201.16
India,IND,2019,209.744
India,IND,2020,196.81
India,IND,2021,241.136
Indonesia,IDN,2013,280.904
Indonesia,IDN,2014,299.612
Indonesia,IDN,2015,307.152
Indonesia,IDN,2016,327.223
Indonesia,IDN,2017,329.789
Indonesia,IDN,2018,340.569
Indonesia,IDN,2019,353.708
Indonesia,IDN,2020,392.716
Indonesia,IDN,2021,456.524
Ireland,IRL,2013,4248.957
Ireland,IRL,2014,4208.918
Ireland,IRL,2015,4322.198
Ireland,IRL,2016,4451.577
Ireland,IRL,2017,4557.278
Ireland,IRL,2018,4679.357
Ireland,IRL,2019,4824.447
Ireland,IRL,2020,5231.016
Ireland,IRL,2021,5424.068
Ireland,IRL,2022,5420.512
Ireland,IRL,2023,5252.842
Israel,ISR,2013,2179.069
Israel,ISR,2014,2250.871
Israel,ISR,2015,2310.019
Israel,ISR,2016,2412.323
Israel,ISR,2017,2482.093
Israel,ISR,2018,2545.766
Israel,ISR,2019,2603.475
Israel,ISR,2020,2715.914
Israel,ISR,2021,2917.276
Israel,ISR,2022,2936.713
Israel,ISR,2023,3032.167
Italy,ITA,2013,3010.625
Italy,ITA,2014,3063.3
Italy,ITA,2015,3114.625
Italy,ITA,2016,3143.483
Italy,ITA,2017,3174.687
Italy,ITA,2018,3213.736
Italy,ITA,2019,3238.381
Italy,ITA,2020,3326.632
Italy,ITA,2021,3505.932
Italy,ITA,2022,3382.594
Italy,ITA,2023,3248.653
Japan,JPN,2013,4325.866
Japan,JPN,2014,4360.78
Japan,JPN,2015,4515.556
Japan,JPN,2016,4546.422
Japan,JPN,2017,4607.043
Japan,JPN,2018,4653.489
Japan,JPN,2019,4752.801
Japan,JPN,2020,4703.099
Japan,JPN,2021,4807.428
Japan,JPN,2022,4878.778
Japan,JPN,2023,4873.618
Latvia,LVA,2013,1237.135
Latvia,LVA,2014,1295.427
Latvia,LVA,2015,1404.661
Latvia,LVA,2016,1569.445
Latvia,LVA,2017,1588.385
Latvia,LVA,2018,1734.698
Latvia,LVA,2019,1889.894
Latvia,LVA,2020,2046.181
Latvia,LVA,2021,2720.627
Latvia,LVA,2022,2351.855
Latvia,LVA,2023,2354.813
Lithuania,LTU,2013,1675.617
Lithuania,LTU,2014,1777.566
Lithuania,LTU,2015,1917.092
Lithuania,LTU,2016,2040.58
Lithuania,LTU,2017,2108.452
Lithuania,LTU,2018,2237.037
Lithuania,LTU,2019,2493.049
Lithuania,LTU,2020,2628.939
Lithuania,LTU,2021,2916.982
Lithuania,LTU,2022,2740.47
Lithuania,LTU,2023,2671.249
Luxembourg,LUX,2013,4698.04
Luxembourg,LUX,2014,4785.114
Luxembourg,LUX,2015,4692.302
Luxembourg,LUX,2016,4707.442
Luxembourg,LUX,2017,4711.392
Luxembourg,LUX,2018,4831.971
Luxembourg,LUX,2019,4998.695
Luxembourg,LUX,2020,5254.002
Luxembourg,LUX,2021,5633.53
Luxembourg,LUX,2022,5518.47
Luxembourg,LUX,2023,5497.399
Malta,MLT,2016,3305.914
Malta,MLT,2017,3498.939
Malta,MLT,2018,3557.89
Malta,MLT,2019,3922.913
Malta,MLT,2020,4130.039
Malta,MLT,2021,4541.275
Malta,MLT,2022,4476.195
Mexico,MEX,2013,1031.137
Mexico,MEX,2014,995.646
Mexico,MEX,2015,1062.591
Mexico,MEX,2016,1048.837
Mexico,MEX,2017,1052.469
Mexico,MEX,2018,1055.088
Mexico,MEX,2019,1063.958
Mexico,MEX,2020,1099.015
Mexico,MEX,2021,1112.726
Mexico,MEX,2022,1090.092
Mexico,MEX,2023,1115.686
Netherlands,NLD,2013,4915.66
Netherlands,NLD,2014,4930.843
Netherlands,NLD,2015,4927.103
Netherlands,NLD,2016,5002.198
Netherlands,NLD,2017,5011.271
Netherlands,NLD,2018,5053.651
Netherlands,NLD,2019,5187.209
Netherlands,NLD,2020,5502.548
Netherlands,NLD,2021,5753.96
Netherlands,NLD,2022,5347.826
Netherlands,NLD,2023,5332.249
New Zealand,NZL,2013,3403.162
New Zealand,NZL,2014,3472
New Zealand,NZL,2015,3500.719
New Zealand,NZL,2016,3577.735
New Zealand,NZL,2017,3589.81
New Zealand,NZL,2018,3670.846
New Zealand,NZL,2019,3741.733
New Zealand,NZL,2020,3928.982
New Zealand,NZL,2021,4299.036
New Zealand,NZL,2022,4875.313
New Zealand,NZL,2023,4738.638
Norway,NOR,2013,5367.635
Norway,NOR,2014,5530.596
Norway,NOR,2015,5725.452
Norway,NOR,2016,5747.648
Norway,NOR,2017,5776.894
Norway,NOR,2018,5844.861
Norway,NOR,2019,5953.112
Norway,NOR,2020,6060.307
Norway,NOR,2021,6275.317
Norway,NOR,2022,6331.416
Norway,NOR,2023,6215.522
Peru,PER,2013,572.676
Peru,PER,2014,601.143
Peru,PER,2015,604.605
Peru,PER,2016,622.615
Peru,PER,2017,631.109
Peru,PER,2018,678.646
Peru,PER,2019,680.689
Peru,PER,2020,738.607
Peru,PER,2021,892.945
Poland,POL,2013,1639.25
Poland,POL,2014,1672.929
Poland,POL,2015,1796.739
Poland,POL,2016,1912.106
Poland,POL,2017,2010.51
Poland,POL,2018,2032.723
Poland,POL,2019,2189.265
Poland,POL,2020,2176.496
Poland,POL,2021,2314.319
Poland,POL,2022,2373.995
Poland,POL,2023,2682.134
Portugal,PRT,2013,2524.308
Portugal,PRT,2014,2547.818
Portugal,PRT,2015,2629.529
Portugal,PRT,2016,2727.221
Portugal,PRT,2017,2794.722
Portugal,PRT,2018,2913.212
Portugal,PRT,2019,3040.979
Portugal,PRT,2020,3103.482
Portugal,PRT,2021,3454.674
Portugal,PRT,2022,3400.897
Portugal,PRT,2023,3383.995
Romania,ROU,2013,1038.277
Romania,ROU,2014,1047.713
Romania,ROU,2015,1086.97
Romania,ROU,2016,1153.39
Romania,ROU,2017,1306.084
Romania,ROU,2018,1499.249
Romania,ROU,2019,1631.713
Romania,ROU,2020,1747.406
Romania,ROU,2021,1947.992
Romania,ROU,2022,1805.287
Romania,ROU,2023,1908.221
Slovakia,SVK,2013,2126.45
Slovakia,SVK,2014,1999.429
Slovakia,SVK,2015,2059.132
Slovakia,SVK,2016,2154.288
Slovakia,SVK,2017,2136.062
Slovakia,SVK,2018,2183.357
Slovakia,SVK,2019,2318.275
Slovakia,SVK,2020,2309.381
Slovakia,SVK,2021,2623.706
Slovakia,SVK,2022,2575.162
Slovakia,SVK,2023,2923.435
Slovenia,SVN,2013,2469.49
Slovenia,SVN,2014,2487.825
Slovenia,SVN,2015,2579.849
Slovenia,SVN,2016,2667.953
Slovenia,SVN,2017,2689.604
Slovenia,SVN,2018,2837.423
Slovenia,SVN,2019,3000.806
Slovenia,SVN,2020,3190.582
Slovenia,SVN,2021,3423.712
Slovenia,SVN,2022,3490.599
Slovenia,SVN,2023,3503.073
South Africa,ZAF,2013,1160.833
South Africa,ZAF,2014,1121.941
South Africa,ZAF,2015,1151.605
South Africa,ZAF,2016,1151.063
South Africa,ZAF,2017,1140.722
South Africa,ZAF,2018,1151.69
South Africa,ZAF,2019,1168.778
South Africa,ZAF,2020,1148.156
South Africa,ZAF,2021,1175.519
South Korea,KOR,2013,2207.44
South Korea,KOR,2014,2328.347
South Korea,KOR,2015,2516.528
South Korea,KOR,2016,2665.083
South Korea,KOR,2017,2810.556
South Korea,KOR,2018,3019.704
South Korea,KOR,2019,3297.291
South Korea,KOR,2020,3375.149
South Korea,KOR,2021,3791.989
South Korea,KOR,2022,4107.457
South Korea,KOR,2023,4365.927
Spain,ESP,2013,2842.825
Spain,ESP,2014,2885.346
Spain,ESP,2015,3022.368
Spain,ESP,2016,3056.743
Spain,ESP,2017,3135.453
Spain,ESP,2018,3202.343
Spain,ESP,2019,3294.679
Spain,ESP,2020,3448.534
Spain,ESP,2021,3541.754
Spain,ESP,2022,3442.192
Spain,ESP,2023,3524.135
Sweden,SWE,2013,4777.727
Sweden,SWE,2014,4880.423
Sweden,SWE,2015,5004.132
Sweden,SWE,2016,5070.399
Sweden,SWE,2017,5091.079
Sweden,SWE,2018,5177.358
Sweden,SWE,2019,5184.229
Sweden,SWE,2020,5255.06
Sweden,SWE,2021,5472.318
Sweden,SWE,2022,5292.476
Sweden,SWE,2023,5391.5
Switzerland,CHE,2013,6097.769
Switzerland,CHE,2014,6186.431
Switzerland,CHE,2015,6389.893
Switzerland,CHE,2016,6548.214
Switzerland,CHE,2017,6609.72
Switzerland,CHE,2018,6596.542
Switzerland,CHE,2019,6762.735
Switzerland,CHE,2020,6880.528
Switzerland,CHE,2021,7255.205
Switzerland,CHE,2022,7213.734
Switzerland,CHE,2023,7317.937
Turkey,TUR,2013,1025.461
Turkey,TUR,2014,1046.599
Turkey,TUR,2015,1040.108
Turkey,TUR,2016,1117.572
Turkey,TUR,2017,1155.621
Turkey,TUR,2018,1179.466
Turkey,TUR,2019,1231.374
Turkey,TUR,2020,1336.07
Turkey,TUR,2021,1551.908
Turkey,TUR,2022,1432.967
Turkey,TUR,2023,1741.44
United Kingdom,GBR,2013,3665.687
United Kingdom,GBR,2014,3732.847
United Kingdom,GBR,2015,3800.465
United Kingdom,GBR,2016,3841.31
United Kingdom,GBR,2017,3865.071
United Kingdom,GBR,2018,3945.88
United Kingdom,GBR,2019,4089.116
United Kingdom,GBR,2020,4370.909
United Kingdom,GBR,2021,4785.934
United Kingdom,GBR,2022,4523.791
United Kingdom,GBR,2023,4443.71
United States,USA,2013,8658.054
United States,USA,2014,8940.737
United States,USA,2015,9355.406
United States,USA,2016,9628.194
United States,USA,2017,9768.971
United States,USA,2018,9940.93
United States,USA,2019,10189.091
United States,USA,2020,11081.445
United States,USA,2021,10923.992
United States,USA,2022,10634.605
United States,USA,2023,10827.455